id,size,annualized,prop_dt,prop_large,prop_retail,prop_insider,share
000581,49.94,4.10%,2017-06-30,2.71%,97.29%,0.47%,42.15
000583,4.63,-2.65%,2017-06-30,94.17%,5.83%,0.08%,10.41
000584,2.57,13.96%,2017-06-30,36.78%,63.22%,0.53%,1.41
000585,1.15,2.33%,2017-06-30,78.92%,21.08%,0.00%,3.10
000586,5.05,-19.32%,2017-06-30,3.67%,96.33%,0.00%,4.02
000587,2.98,13.20%,2017-06-30,52.69%,47.31%,0.02%,3.60
000588,45.11,4.18%,2017-06-30,6.87%,93.13%,0.22%,70.19
000589,1.92,8.26%,2017-06-30,6.80%,93.20%,1.75%,1.57
000590,1.33,9.88%,2017-06-30,21.79%,78.21%,0.08%,1.22
000591,0.79,4.27%,2017-06-30,---,100.00%,0.01%,0.59
000592,3.42,18.90%,2017-06-30,36.85%,63.15%,0.38%,1.50
000593,0.89,31.19%,2017-06-30,0.01%,99.99%,0.22%,0.41
000594,0.55,1.53%,2017-06-30,0.00%,100.00%,0.00%,0.34
000595,11.22,18.19%,2017-06-30,11.83%,88.17%,0.01%,5.42
000596,8.23,-31.49%,2017-06-30,6.67%,93.33%,0.00%,6.03
000597,0.04,10.56%,2017-06-30,99.23%,0.77%,0.00%,4.29
000598,2.75,10.43%,2017-06-30,0.35%,99.65%,0.00%,1.85
000599,234.29,3.95%,2017-06-30,6.60%,93.40%,0.06%,154.37
000600,56.20,4.20%,2017-06-30,14.47%,85.53%,0.01%,44.55
000601,2.15,10.43%,2017-06-30,0.10%,99.90%,0.05%,1.27
000602,100.08,4.18%,2017-06-30,99.99%,0.01%,0.00%,100.04
000603,23.02,-9.46%,2017-06-30,7.40%,92.60%,0.04%,31.75
000604,6.83,4.22%,2017-06-30,3.01%,96.99%,0.39%,5.32
000605,283.92,4.47%,2017-06-30,99.88%,0.12%,0.00%,236.28
000606,1.86,--,-,-,-,-,-
000607,974.52,4.18%,2017-06-30,0.00%,100.00%,0.00%,790.95
000609,7.16,1.67%,2017-06-30,7.45%,92.55%,0.02%,2.99
000612,8.50,4.58%,2017-06-30,0.10%,99.90%,0.05%,4.79
000613,6.81,14.08%,2017-06-30,99.66%,0.34%,0.02%,21.60
000614,1.09,8.11%,2017-06-30,2.88%,97.12%,0.00%,0.69
000615,3.50,4.15%,2017-06-30,6.48%,93.52%,3.14%,0.92
000616,0.18,0.51%,2017-06-30,---,100.00%,0.00%,0.20
000617,0.06,0.15%,2017-06-30,---,100.00%,0.00%,0.07
000618,205.89,3.98%,2017-06-30,0.83%,99.17%,0.06%,197.56
000619,55.18,47.69%,2017-06-30,1.13%,98.87%,0.12%,8.76
000620,6.76,4.48%,2017-06-30,0.00%,100.00%,1.94%,17.65
000621,139.94,4.73%,2017-06-30,49.67%,50.33%,3.65%,34.73
000622,1.41,3.81%,2017-06-30,98.02%,1.98%,0.00%,1.34
000624,1.41,3.81%,2017-06-30,98.81%,1.19%,0.00%,1.33
000625,7.34,4.17%,2017-06-30,0.74%,99.26%,0.00%,5.62
000626,0.26,3.88%,2017-06-30,4.17%,95.83%,0.19%,0.41
000627,174.24,4.13%,2017-06-30,100.00%,---,0.00%,170.90
000628,2.85,28.56%,2017-06-30,19.08%,80.92%,0.00%,1.49
000629,1.18,3.30%,2017-06-30,97.66%,2.34%,0.00%,1.00
000630,0.01,3.02%,2017-06-30,---,100.00%,0.70%,0.02
000632,7.08,3.61%,2017-06-30,95.19%,4.81%,0.00%,11.72
000634,3.52,20.91%,2017-06-30,19.23%,80.77%,0.00%,2.92
000638,58.42,4.16%,2017-06-30,15.11%,84.89%,1.52%,39.31
000639,1.06,2.19%,2017-06-30,62.69%,37.31%,0.65%,1.72
000640,0.29,4.03%,2017-06-30,5.01%,94.99%,0.01%,0.40
000641,120.89,4.03%,2017-06-30,2.67%,97.33%,0.01%,110.14
000642,20.45,3.73%,2017-06-30,5.63%,94.37%,0.00%,29.59
000644,4.53,3.65%,2017-06-30,4.38%,95.62%,0.09%,6.84
000645,155.22,3.97%,2017-06-30,4.63%,95.37%,0.12%,121.24
000646,0.38,-2.85%,2017-06-30,9.01%,90.99%,0.14%,0.36
000647,72.62,4.13%,2017-06-30,2.34%,97.66%,0.01%,49.55
000648,59.85,4.38%,2017-06-30,88.96%,11.04%,0.08%,36.78
000649,11.85,2.28%,2017-06-30,---,100.00%,0.01%,17.34
000650,17.56,3.73%,2017-06-30,0.00%,100.00%,0.00%,13.74
000651,7.57,3.90%,2017-06-30,93.61%,6.39%,0.00%,36.46
000652,7.56,0.25%,2017-06-30,62.43%,37.57%,0.15%,6.48
000654,30.29,-38.51%,2017-06-30,20.05%,79.95%,0.42%,29.49
000655,16.09,1.64%,2017-06-30,98.63%,1.37%,0.00%,19.38
000656,0.10,9.94%,2017-06-30,0.01%,99.99%,16.96%,0.08
000657,0.00,0.00%,-,-,-,-,-
000658,0.00,0.00%,2014-12-31,0.00%,100.00%,0.00%,0.00
000659,0.00,0.00%,2014-12-31,0.00%,100.00%,0.00%,0.00
000660,0.00,0.00%,2014-12-31,99.85%,0.15%,0.00%,3.61
000661,0.00,0.00%,2014-12-31,0.00%,100.00%,0.49%,0.01
